"id","kode_prov","nama_prov","kode_kab","id_kab","nama_kab","kode_kec","id_kec","nama_kec","kode_desa","id_desa","nama_desa","klas","kode_sls4","kode_sls6","kdsubsls","id_sls","id_sls6","nama_sls","sls_op","jenis_sls","j_keluarga","tipe_sls","realisasi_clean","realisasi_error","koseka_approved","koseka_unapproved","tagging_wilkerstat","tagging_sangatmiskin","jml_keluarga_tagging","percepatan","updated_at"
"22","71","SULAWESI UTARA","1","7101","BOLAANG MONGONDOW","21","7101021","DUMOGA BARAT","2","7101021002","MATAYANGAN","2","1001","100100","00","71010210021001","7101021002100100","PERKEBUNAN",,"NONSLS",,"3","0","0","0","0",NULL,"0","0","0","2022-12-15 06:01:18"
"23","71","SULAWESI UTARA","1","7101","BOLAANG MONGONDOW","21","7101021","DUMOGA BARAT","2","7101021002","MATAYANGAN","2","1002","100200","00","71010210021002","7101021002100200","PERKEBUNAN",,"NONSLS",,"3","0","0","0","0",NULL,"0","0","0","2022-12-15 06:01:18"
"24","71","SULAWESI UTARA","1","7101","BOLAANG MONGONDOW","21","7101021","DUMOGA BARAT","3","7101021003","UUWAN","2","0001","000100","00","71010210030001","7101021003000100","RT 1 DUSUN 1","1","SLS","48","1","55","0","55","0","46","2","55","0","2022-12-15 06:01:18"
"25","71","SULAWESI UTARA","1","7101","BOLAANG MONGONDOW","21","7101021","DUMOGA BARAT","3","7101021003","UUWAN","2","0002","000200","00","71010210030002","7101021003000200","RT 2 DUSUN 1","1","SLS","29","1","54","0","54","0","36","0","54","1","2022-12-15 06:01:18"
"26","71","SULAWESI UTARA","1","7101","BOLAANG MONGONDOW","21","7101021","DUMOGA BARAT","3","7101021003","UUWAN","2","0003","000300","00","71010210030003","7101021003000300","RT 3 DUSUN 2","1","SLS","33","1","0","0","0","0","32","0","41","0","2022-12-15 06:01:18"
"27","71","SULAWESI UTARA","1","7101","BOLAANG MONGONDOW","21","7101021","DUMOGA BARAT","3","7101021003","UUWAN","2","0004","000400","00","71010210030004","7101021003000400","RT 4 DUSUN 2","1","SLS","61","1","56","0","56","0","43","0","56","0","2022-12-15 06:01:18"
"28","71","SULAWESI UTARA","1","7101","BOLAANG MONGONDOW","21","7101021","DUMOGA BARAT","3","7101021003","UUWAN","2","0005","000500","00","71010210030005","7101021003000500","RT 5 DUSUN 3","1","SLS","42","1","45","2","0","45","40","0","49","0","2022-12-15 06:01:18"
"29","71","SULAWESI UTARA","1","7101","BOLAANG MONGONDOW","21","7101021","DUMOGA BARAT","3","7101021003","UUWAN","2","0006","000600","00","71010210030006","7101021003000600","RT 6 DUSUN 3","1","SLS","59","1","60","0","60","0","47","1","60","1","2022-12-15 06:01:18"
"30","71","SULAWESI UTARA","1","7101","BOLAANG MONGONDOW","21","7101021","DUMOGA BARAT","3","7101021003","UUWAN","2","0007","000700","00","71010210030007","7101021003000700","RT 7 DUSUN 4","1","SLS","58","1","0","0","0","0","20","0","33","0","2022-12-15 06:01:18"
"31","71","SULAWESI UTARA","1","7101","BOLAANG MONGONDOW","21","7101021","DUMOGA BARAT","3","7101021003","UUWAN","2","0008","000800","00","71010210030008","7101021003000800","RT 8 DUSUN 4","1","SLS","31","1","51","0","50","1","38","0","51","0","2022-12-15 06:01:18"
"32","71","SULAWESI UTARA","1","7101","BOLAANG MONGONDOW","21","7101021","DUMOGA BARAT","3","7101021003","UUWAN","2","0009","000900","00","71010210030009","7101021003000900","RT 9 DUSUN 5","1","SLS","74","1","64","0","64","0","43","1","64","1","2022-12-15 06:01:18"
"33","71","SULAWESI UTARA","1","7101","BOLAANG MONGONDOW","21","7101021","DUMOGA BARAT","3","7101021003","UUWAN","2","0010","001000","00","71010210030010","7101021003001000","RT 10 DUSUN 5","1","SLS","41","1","0","0","0","0","38","0","42","0","2022-12-15 06:01:18"
"34","71","SULAWESI UTARA","1","7101","BOLAANG MONGONDOW","21","7101021","DUMOGA BARAT","3","7101021003","UUWAN","2","0011","001100","00","71010210030011","7101021003001100","RT 11 DUSUN 6","1","SLS","41","1","0","0","0","0","37","0","44","0","2022-12-15 06:01:18"
"35","71","SULAWESI UTARA","1","7101","BOLAANG MONGONDOW","21","7101021","DUMOGA BARAT","3","7101021003","UUWAN","2","0012","001200","00","71010210030012","7101021003001200","RT 12 DUSUN 6","1","SLS","53","1","0","0","0","0","38","0","41","0","2022-12-15 06:01:18"
"36","71","SULAWESI UTARA","1","7101","BOLAANG MONGONDOW","21","7101021","DUMOGA BARAT","3","7101021003","UUWAN","2","0013","001300","00","71010210030013","7101021003001300","RT 13 DUSUN 7","1","SLS","42","1","53","0","53","0","52","2","53","1","2022-12-15 06:01:18"
"37","71","SULAWESI UTARA","1","7101","BOLAANG MONGONDOW","21","7101021","DUMOGA BARAT","3","7101021003","UUWAN","2","0014","001400","00","71010210030014","7101021003001400","RT 14 DUSUN 7","1","SLS","43","1","0","0","0","0","53","0","63","0","2022-12-15 06:01:18"
"38","71","SULAWESI UTARA","1","7101","BOLAANG MONGONDOW","21","7101021","DUMOGA BARAT","3","7101021003","UUWAN","2","1001","100100","00","71010210031001","7101021003100100","PERKEBUNAN KELAPA",,"NONSLS",,"3","0","0","0","0",NULL,"0","0","0","2022-12-15 06:01:18"
"39","71","SULAWESI UTARA","1","7101","BOLAANG MONGONDOW","21","7101021","DUMOGA BARAT","3","7101021003","UUWAN","2","1002","100200","00","71010210031002","7101021003100200","SAWAH",,"NONSLS",,"3","0","0","0","0",NULL,"0","0","0","2022-12-15 06:01:18"
"40","71","SULAWESI UTARA","1","7101","BOLAANG MONGONDOW","21","7101021","DUMOGA BARAT","3","7101021003","UUWAN","2","1003","100300","00","71010210031003","7101021003100300","SAWAH",,"NONSLS",,"3","0","0","0","0",NULL,"0","0","0","2022-12-15 06:01:18"
