id;kode_prov;nama_prov;kode_kab;id_kab;nama_kab;kode_kec;id_kec;nama_kec;kode_desa;id_desa;nama_desa;klas;kode_sls4;kode_sls6;kdsubsls;id_sls;id_sls6;nama_sls;jenis_sls
30;71;SULAWESI UTARA;1;7101;BOLAANG MONGONDOW;21;7101021;DUMOGA BARAT;3;7101021003;UUWAN;2;0007;000700;00;71010210030007;7101021003000700;RT 7 DUSUN 4;SLS
31;71;SULAWESI UTARA;1;7101;BOLAANG MONGONDOW;21;7101021;DUMOGA BARAT;3;7101021003;UUWAN;2;0008;000800;00;71010210030008;7101021003000800;RT 8 DUSUN 4;SLS
32;71;SULAWESI UTARA;1;7101;BOLAANG MONGONDOW;21;7101021;DUMOGA BARAT;3;7101021003;UUWAN;2;0009;000900;00;71010210030009;7101021003000900;RT 9 DUSUN 5;SLS
33;71;SULAWESI UTARA;1;7101;BOLAANG MONGONDOW;21;7101021;DUMOGA BARAT;3;7101021003;UUWAN;2;0010;001000;00;71010210030010;7101021003001000;RT 10 DUSUN 5;SLS
34;71;SULAWESI UTARA;1;7101;BOLAANG MONGONDOW;21;7101021;DUMOGA BARAT;3;7101021003;UUWAN;2;0011;001100;00;71010210030011;7101021003001100;RT 11 DUSUN 6;SLS
35;71;SULAWESI UTARA;1;7101;BOLAANG MONGONDOW;21;7101021;DUMOGA BARAT;3;7101021003;UUWAN;2;0012;001200;00;71010210030012;7101021003001200;RT 12 DUSUN 6;SLS
36;71;SULAWESI UTARA;1;7101;BOLAANG MONGONDOW;21;7101021;DUMOGA BARAT;3;7101021003;UUWAN;2;0013;001300;00;71010210030013;7101021003001300;RT 13 DUSUN 7;SLS
37;71;SULAWESI UTARA;1;7101;BOLAANG MONGONDOW;21;7101021;DUMOGA BARAT;3;7101021003;UUWAN;2;0014;001400;00;71010210030014;7101021003001400;RT 14 DUSUN 7;SLS
38;71;SULAWESI UTARA;1;7101;BOLAANG MONGONDOW;21;7101021;DUMOGA BARAT;3;7101021003;UUWAN;2;1001;100100;00;71010210031001;7101021003100100;PERKEBUNAN KELAPA;NONSLS
39;71;SULAWESI UTARA;1;7101;BOLAANG MONGONDOW;21;7101021;DUMOGA BARAT;3;7101021003;UUWAN;2;1002;100200;00;71010210031002;7101021003100200;SAWAH;NONSLS
40;71;SULAWESI UTARA;1;7101;BOLAANG MONGONDOW;21;7101021;DUMOGA BARAT;3;7101021003;UUWAN;2;1003;100300;00;71010210031003;7101021003100300;SAWAH;NONSLS
41;71;SULAWESI UTARA;1;7101;BOLAANG MONGONDOW;21;7101021;DUMOGA BARAT;4;7101021004;IKHWAN;2;0001;000100;00;71010210040001;7101021004000100;RT 1 DUSUN 1;SLS
42;71;SULAWESI UTARA;1;7101;BOLAANG MONGONDOW;21;7101021;DUMOGA BARAT;4;7101021004;IKHWAN;2;0003;000300;00;71010210040003;7101021004000300;RT 1 DUSUN 2;SLS
43;71;SULAWESI UTARA;1;7101;BOLAANG MONGONDOW;21;7101021;DUMOGA BARAT;4;7101021004;IKHWAN;2;0004;000400;00;71010210040004;7101021004000400;RT 2 DUSUN 2;SLS
44;71;SULAWESI UTARA;1;7101;BOLAANG MONGONDOW;21;7101021;DUMOGA BARAT;4;7101021004;IKHWAN;2;0005;000500;00;71010210040005;7101021004000500;RT 1 DUSUN 3;SLS
